# ping_ms_low,std_ms_low,loss_low,ping_ms_high,std_ms_high,loss_high,cellProb
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.004999999999999716e+01,5.004999999999999716e+01,2.500000000000000139e-02,3.631238095238095154e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.499999999999999792e-02,5.004999999999999716e+01,5.004999999999999716e+01,5.000000000000000278e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.999999999999999584e-02,5.004999999999999716e+01,5.004999999999999716e+01,7.499999999999999722e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.499999999999999722e-02,5.004999999999999716e+01,5.004999999999999716e+01,1.000000000000000056e-01,5.206349206349206692e-03
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999167e-02,5.004999999999999716e+01,5.004999999999999716e+01,1.250000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.249999999999999861e-01,5.004999999999999716e+01,5.004999999999999716e+01,1.499999999999999944e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.499999999999999944e-01,5.004999999999999716e+01,5.004999999999999716e+01,1.749999999999999889e-01,6.857142857142857007e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.749999999999999889e-01,5.004999999999999716e+01,5.004999999999999716e+01,1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999833e-01,5.004999999999999716e+01,5.004999999999999716e+01,2.249999999999999778e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.249999999999999778e-01,5.004999999999999716e+01,5.004999999999999716e+01,2.499999999999999722e-01,4.571428571428571338e-04
0.000000000000000000e+00,0.000000000000000000e+00,2.499999999999999722e-01,5.004999999999999716e+01,5.004999999999999716e+01,2.749999999999999667e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.749999999999999667e-01,5.004999999999999716e+01,5.004999999999999716e+01,2.999999999999999889e-01,1.015873015873015883e-04
0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,5.004999999999999716e+01,5.004999999999999716e+01,3.250000000000000111e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.249999999999999556e-01,5.004999999999999716e+01,5.004999999999999716e+01,3.499999999999999778e-01,7.619047619047618445e-05
0.000000000000000000e+00,0.000000000000000000e+00,3.499999999999999778e-01,5.004999999999999716e+01,5.004999999999999716e+01,3.750000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.749999999999999445e-01,5.004999999999999716e+01,5.004999999999999716e+01,3.999999999999999667e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.999999999999999667e-01,5.004999999999999716e+01,5.004999999999999716e+01,4.249999999999999889e-01,5.079365079365079415e-05
0.000000000000000000e+00,0.000000000000000000e+00,4.249999999999999889e-01,5.004999999999999716e+01,5.004999999999999716e+01,4.500000000000000111e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.499999999999999556e-01,5.004999999999999716e+01,5.004999999999999716e+01,4.749999999999999778e-01,7.619047619047618445e-05
0.000000000000000000e+00,0.000000000000000000e+00,4.749999999999999778e-01,5.004999999999999716e+01,5.004999999999999716e+01,5.000000000000000000e-01,0.000000000000000000e+00
5.005000000000000426e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000999999999999943e+02,5.004999999999999716e+01,2.500000000000000139e-02,2.937396825396825228e-01
5.005000000000000426e+01,0.000000000000000000e+00,2.499999999999999792e-02,1.000999999999999943e+02,5.004999999999999716e+01,5.000000000000000278e-02,0.000000000000000000e+00
5.005000000000000426e+01,0.000000000000000000e+00,4.999999999999999584e-02,1.000999999999999943e+02,5.004999999999999716e+01,7.499999999999999722e-02,0.000000000000000000e+00
5.005000000000000426e+01,0.000000000000000000e+00,7.499999999999999722e-02,1.000999999999999943e+02,5.004999999999999716e+01,1.000000000000000056e-01,9.219047619047619768e-03
5.005000000000000426e+01,0.000000000000000000e+00,9.999999999999999167e-02,1.000999999999999943e+02,5.004999999999999716e+01,1.250000000000000000e-01,0.000000000000000000e+00
5.005000000000000426e+01,0.000000000000000000e+00,1.249999999999999861e-01,1.000999999999999943e+02,5.004999999999999716e+01,1.499999999999999944e-01,0.000000000000000000e+00
5.005000000000000426e+01,0.000000000000000000e+00,1.499999999999999944e-01,1.000999999999999943e+02,5.004999999999999716e+01,1.749999999999999889e-01,1.549206349206349188e-03
5.005000000000000426e+01,0.000000000000000000e+00,1.749999999999999889e-01,1.000999999999999943e+02,5.004999999999999716e+01,1.999999999999999833e-01,0.000000000000000000e+00
5.005000000000000426e+01,0.000000000000000000e+00,1.999999999999999833e-01,1.000999999999999943e+02,5.004999999999999716e+01,2.249999999999999778e-01,0.000000000000000000e+00
5.005000000000000426e+01,0.000000000000000000e+00,2.249999999999999778e-01,1.000999999999999943e+02,5.004999999999999716e+01,2.499999999999999722e-01,5.841269841269841395e-04
5.005000000000000426e+01,0.000000000000000000e+00,2.499999999999999722e-01,1.000999999999999943e+02,5.004999999999999716e+01,2.749999999999999667e-01,0.000000000000000000e+00
5.005000000000000426e+01,0.000000000000000000e+00,2.749999999999999667e-01,1.000999999999999943e+02,5.004999999999999716e+01,2.999999999999999889e-01,2.031746031746031766e-04
5.005000000000000426e+01,0.000000000000000000e+00,2.999999999999999889e-01,1.000999999999999943e+02,5.004999999999999716e+01,3.250000000000000111e-01,0.000000000000000000e+00
5.005000000000000426e+01,0.000000000000000000e+00,3.249999999999999556e-01,1.000999999999999943e+02,5.004999999999999716e+01,3.499999999999999778e-01,3.047619047619047378e-04
5.005000000000000426e+01,0.000000000000000000e+00,3.499999999999999778e-01,1.000999999999999943e+02,5.004999999999999716e+01,3.750000000000000000e-01,0.000000000000000000e+00
5.005000000000000426e+01,0.000000000000000000e+00,3.749999999999999445e-01,1.000999999999999943e+02,5.004999999999999716e+01,3.999999999999999667e-01,2.285714285714285669e-04
5.005000000000000426e+01,0.000000000000000000e+00,3.999999999999999667e-01,1.000999999999999943e+02,5.004999999999999716e+01,4.249999999999999889e-01,1.015873015873015883e-04
5.005000000000000426e+01,0.000000000000000000e+00,4.249999999999999889e-01,1.000999999999999943e+02,5.004999999999999716e+01,4.500000000000000111e-01,4.571428571428571338e-04
5.005000000000000426e+01,0.000000000000000000e+00,4.499999999999999556e-01,1.000999999999999943e+02,5.004999999999999716e+01,4.749999999999999778e-01,9.142857142857142676e-04
5.005000000000000426e+01,0.000000000000000000e+00,4.749999999999999778e-01,1.000999999999999943e+02,5.004999999999999716e+01,5.000000000000000000e-01,0.000000000000000000e+00
1.001000000000000085e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.501500000000000057e+02,5.004999999999999716e+01,2.500000000000000139e-02,8.139682539682539797e-02
