# download_kbps_low,upload_kbps_low,ping_ms_low,download_kbps_high,upload_kbps_high,ping_ms_high,cellProb
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000500000000000114e+02,5.000500000000000114e+02,5.004999999999999716e+01,3.705699497333666409e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.005000000000000426e+01,5.000500000000000114e+02,5.000500000000000114e+02,1.000999999999999943e+02,2.293904937474577563e-02
0.000000000000000000e+00,0.000000000000000000e+00,1.001000000000000085e+02,5.000500000000000114e+02,5.000500000000000114e+02,1.501500000000000057e+02,9.630892895126710873e-03
0.000000000000000000e+00,0.000000000000000000e+00,1.501500000000000057e+02,5.000500000000000114e+02,5.000500000000000114e+02,2.001999999999999886e+02,5.855857536823014763e-03
0.000000000000000000e+00,0.000000000000000000e+00,2.002000000000000171e+02,5.000500000000000114e+02,5.000500000000000114e+02,2.502500000000000000e+02,4.284045661657418305e-03
0.000000000000000000e+00,0.000000000000000000e+00,2.502500000000000284e+02,5.000500000000000114e+02,5.000500000000000114e+02,3.003000000000000114e+02,3.749659478077851851e-03
0.000000000000000000e+00,0.000000000000000000e+00,3.003000000000000114e+02,5.000500000000000114e+02,5.000500000000000114e+02,3.503500000000000227e+02,3.606360389743666454e-03
0.000000000000000000e+00,0.000000000000000000e+00,3.503500000000000227e+02,5.000500000000000114e+02,5.000500000000000114e+02,4.004000000000000341e+02,1.751682085001735317e-03
0.000000000000000000e+00,0.000000000000000000e+00,4.004000000000000341e+02,5.000500000000000114e+02,5.000500000000000114e+02,4.504500000000000455e+02,1.329994663601658357e-03
0.000000000000000000e+00,0.000000000000000000e+00,4.504500000000000455e+02,5.000500000000000114e+02,5.000500000000000114e+02,5.005000000000000568e+02,8.411357945449321428e-04
0.000000000000000000e+00,0.000000000000000000e+00,5.005000000000000568e+02,5.000500000000000114e+02,5.000500000000000114e+02,5.505500000000000682e+02,6.806706695873807403e-04
0.000000000000000000e+00,0.000000000000000000e+00,5.505500000000000682e+02,5.000500000000000114e+02,5.000500000000000114e+02,6.006000000000000227e+02,4.649756876676953694e-04
0.000000000000000000e+00,0.000000000000000000e+00,6.006000000000000227e+02,5.000500000000000114e+02,5.000500000000000114e+02,6.506499999999999773e+02,4.500486992995510844e-04
0.000000000000000000e+00,0.000000000000000000e+00,6.506500000000000909e+02,5.000500000000000114e+02,5.000500000000000114e+02,7.007000000000000455e+02,2.597295976057110577e-04
0.000000000000000000e+00,0.000000000000000000e+00,7.007000000000000455e+02,5.000500000000000114e+02,5.000500000000000114e+02,7.507500000000000000e+02,2.455489586559739409e-04
0.000000000000000000e+00,0.000000000000000000e+00,7.507500000000001137e+02,5.000500000000000114e+02,5.000500000000000114e+02,8.008000000000000682e+02,1.985289452963193645e-04
0.000000000000000000e+00,0.000000000000000000e+00,8.008000000000000682e+02,5.000500000000000114e+02,5.000500000000000114e+02,8.508500000000000227e+02,1.925581499490616397e-04
0.000000000000000000e+00,0.000000000000000000e+00,8.508500000000000227e+02,5.000500000000000114e+02,5.000500000000000114e+02,9.008999999999999773e+02,1.358355941501132537e-04
0.000000000000000000e+00,0.000000000000000000e+00,9.009000000000000909e+02,5.000500000000000114e+02,5.000500000000000114e+02,9.509500000000000455e+02,1.201622563635617328e-04
0.000000000000000000e+00,0.000000000000000000e+00,9.509500000000000455e+02,5.000500000000000114e+02,5.000500000000000114e+02,1.001000000000000000e+03,1.141914610163040079e-04
5.000500000000000114e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000100000000000023e+03,5.000500000000000114e+02,5.004999999999999716e+01,4.161495087154953171e-02
5.000500000000000114e+02,0.000000000000000000e+00,5.005000000000000426e+01,1.000100000000000023e+03,5.000500000000000114e+02,1.000999999999999943e+02,1.627340271895093282e-02
5.000500000000000114e+02,0.000000000000000000e+00,1.001000000000000085e+02,1.000100000000000023e+03,5.000500000000000114e+02,1.501500000000000057e+02,3.401860649100089257e-03
5.000500000000000114e+02,0.000000000000000000e+00,1.501500000000000057e+02,1.000100000000000023e+03,5.000500000000000114e+02,2.001999999999999886e+02,1.303872433957405791e-03
5.000500000000000114e+02,0.000000000000000000e+00,2.002000000000000171e+02,1.000100000000000023e+03,5.000500000000000114e+02,2.502500000000000000e+02,8.388967462897104757e-04
5.000500000000000114e+02,0.000000000000000000e+00,2.502500000000000284e+02,1.000100000000000023e+03,5.000500000000000114e+02,3.003000000000000114e+02,4.791563266174324862e-04
5.000500000000000114e+02,0.000000000000000000e+00,3.003000000000000114e+02,1.000100000000000023e+03,5.000500000000000114e+02,3.503500000000000227e+02,4.478096510443294173e-04
5.000500000000000114e+02,0.000000000000000000e+00,3.503500000000000227e+02,1.000100000000000023e+03,5.000500000000000114e+02,4.004000000000000341e+02,1.806165592545461900e-04
5.000500000000000114e+02,0.000000000000000000e+00,4.004000000000000341e+02,1.000100000000000023e+03,5.000500000000000114e+02,4.504500000000000455e+02,7.836668893275764531e-05
5.000500000000000114e+02,0.000000000000000000e+00,4.504500000000000455e+02,1.000100000000000023e+03,5.000500000000000114e+02,5.005000000000000568e+02,4.254191684921129627e-05
5.000500000000000114e+02,0.000000000000000000e+00,5.005000000000000568e+02,1.000100000000000023e+03,5.000500000000000114e+02,5.505500000000000682e+02,4.254191684921129627e-05
5.000500000000000114e+02,0.000000000000000000e+00,5.505500000000000682e+02,1.000100000000000023e+03,5.000500000000000114e+02,6.006000000000000227e+02,3.283937440991749340e-05
5.000500000000000114e+02,0.000000000000000000e+00,6.006000000000000227e+02,1.000100000000000023e+03,5.000500000000000114e+02,6.506499999999999773e+02,2.612222964425254957e-05
5.000500000000000114e+02,0.000000000000000000e+00,6.506500000000000909e+02,1.000100000000000023e+03,5.000500000000000114e+02,7.007000000000000455e+02,3.060032615469584659e-05
5.000500000000000114e+02,0.000000000000000000e+00,7.007000000000000455e+02,1.000100000000000023e+03,5.000500000000000114e+02,7.507500000000000000e+02,2.537588022584533396e-05
5.000500000000000114e+02,0.000000000000000000e+00,7.507500000000001137e+02,1.000100000000000023e+03,5.000500000000000114e+02,8.008000000000000682e+02,2.686857906265976517e-05
5.000500000000000114e+02,0.000000000000000000e+00,8.008000000000000682e+02,1.000100000000000023e+03,5.000500000000000114e+02,8.508500000000000227e+02,1.940508487858760912e-05
5.000500000000000114e+02,0.000000000000000000e+00,8.508500000000000227e+02,1.000100000000000023e+03,5.000500000000000114e+02,9.008999999999999773e+02,1.194159069451545138e-05
